City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
261,glendora,34.1361,-117.8653,26.84,44,0,4.63,US,1724548787
262,port augusta,-32.5,137.7667,23.43,37,0,8.35,AU,1724548788
263,otaru,43.1894,141.0022,23.32,69,4,2.22,JP,1724548789
264,pachino,36.7186,15.0907,27.04,66,100,1.79,IT,1724548791
265,makubetsu,45.3714,141.8211,19.84,77,75,6.69,JP,1724548793
266,tafuna,-14.3358,-170.72,29.97,66,75,7.2,AS,1724548794
267,afif,23.9065,42.9172,26.56,60,22,5.9,SA,1724548795
268,usogorsk,63.4106,48.6872,12.56,99,32,2.75,RU,1724548796
269,ust-nera,64.5667,143.2,17.58,59,12,2.23,RU,1724548797
270,dryden,49.7833,-92.7503,23.16,73,0,3.09,CA,1724548798
271,vila franca do campo,37.7167,-25.4333,22.23,64,12,2.33,PT,1724548800
272,nikko,36.75,139.6167,22.41,89,100,0.86,JP,1724548801
273,axim,4.8699,-2.2405,23.27,93,65,2.27,GH,1724548802
274,poso,-1.3959,120.7524,28.81,62,100,0.91,ID,1724548803
275,fortuna,40.5982,-124.1573,19.51,69,75,4.12,US,1724548776
276,kone,-21.0595,164.8658,26.81,46,0,5.73,NC,1724548805
277,aasiaat,68.7098,-52.8699,3.81,89,96,8.67,GL,1724548806
278,shingu,33.7333,135.9833,30.02,63,6,2.1,JP,1724548807
279,shasta lake,40.6804,-122.3708,24.08,42,0,2.17,US,1724548809
280,quellon,-43.1167,-73.6167,6.04,85,100,3.14,CL,1724548810
281,alotau,-10.3069,150.4462,25.92,81,96,3.27,PG,1724548811
282,sao joao da barra,-21.6403,-41.0511,23.11,90,0,8.18,BR,1724548812
283,mar del plata,-38.0023,-57.5575,7.01,74,75,6.26,AR,1724548813
284,naze,28.3667,129.4833,29.51,79,9,1.95,JP,1724548814
285,sayansk,54.1088,102.1648,17.85,60,65,4.22,RU,1724548815
286,letterkenny,54.95,-7.7333,8.95,83,8,4.1,IE,1724548816
287,port saint john's,-31.6229,29.5448,19.4,70,94,5.68,ZA,1724548817
288,wailua homesteads,22.0669,-159.378,28.44,71,40,8.75,US,1724548819
289,kainantu,-6.2887,145.8655,20.87,76,91,2.45,PG,1724548820
290,angul,20.85,85.1,24.51,92,100,0.51,IN,1724548821
291,pacific grove,36.6177,-121.9166,21.88,73,0,5.14,US,1724548822
292,kourou,5.1552,-52.6478,26.25,82,84,5.11,GF,1724548707
293,vicksburg,32.3526,-90.8779,24.85,83,0,0.0,US,1724548824
294,rio grande,-32.035,-52.0986,8.34,75,98,4.49,BR,1724548825
295,praia da vitoria,38.7333,-27.0667,21.53,83,20,0.98,PT,1724548826
296,sake,-1.5736,29.045,19.26,70,94,0.86,CD,1724548828
297,gizo,-8.103,156.8419,27.34,78,100,10.59,SB,1724548829
298,dudinka,69.4058,86.1778,11.07,75,67,1.04,RU,1724548830
299,rongelap,11.1635,166.8941,28.18,72,100,5.35,MH,1724548831
300,tutoia,-2.7619,-42.2744,26.28,81,17,6.25,BR,1724548832
301,mahibadhoo,3.7833,72.9667,27.96,73,22,4.16,MV,1724548833
